keyword,month,kw_count_month,kw_sent_sum,kw_sent_pos_sum,global_total,kw_share_global,kw_sent_share_global,kw_pos_sent_share_global
Junkfood,2023-10-01,3,-0.33119999999999994,0.9856,25,0.12,-0.013247999999999998,0.039424
Junkfood,2023-11-01,6,4.4001,4.4001,21,0.2857142857142857,0.20952857142857143,0.20952857142857143
Junkfood,2023-12-01,15,10.0985,10.7534,30,0.5,0.3366166666666667,0.35844666666666664
Junkfood,2024-01-01,10,4.2213,5.497699999999999,41,0.24390243902439024,0.10295853658536586,0.134090243902439
Junkfood,2024-02-01,10,5.1029,7.0037,22,0.45454545454545453,0.23195,0.31835
Junkfood,2024-03-01,9,6.5908999999999995,6.5909,29,0.3103448275862069,0.22727241379310342,0.22727241379310345
Junkfood,2024-04-01,13,-1.0989,4.9178999999999995,48,0.2708333333333333,-0.02289375,0.10245624999999998
Junkfood,2024-05-01,5,2.8114,3.6250999999999998,33,0.15151515151515152,0.08519393939393939,0.10985151515151514
Junkfood,2024-06-01,8,0.3242999999999999,2.5658000000000003,37,0.21621621621621623,0.008764864864864863,0.06934594594594595
Junkfood,2024-07-01,6,2.0061,3.5892,36,0.16666666666666666,0.055725,0.0997
Junkfood,2024-08-01,11,4.4011000000000005,6.3715,58,0.1896551724137931,0.07588103448275862,0.10985344827586208
Junkfood,2024-09-01,10,6.4189,7.1488000000000005,58,0.1724137931034483,0.1106706896551724,0.12325517241379311
Junkfood,2024-10-01,12,3.7356000000000003,6.4838,68,0.17647058823529413,0.05493529411764706,0.09534999999999999
Junkfood,2024-11-01,6,1.2040000000000002,2.9581999999999997,49,0.12244897959183673,0.024571428571428574,0.06037142857142857
Junkfood,2024-12-01,13,6.1492,8.3092,54,0.24074074074074073,0.11387407407407409,0.15387407407407408
Junkfood,2025-01-01,11,-0.017900000000000027,4.5851999999999995,68,0.16176470588235295,-0.00026323529411764746,0.06742941176470588
Junkfood,2025-02-01,7,3.6431999999999998,4.8011,64,0.109375,0.056924999999999996,0.0750171875
Junkfood,2025-03-01,13,2.0404,5.6743,71,0.18309859154929578,0.028738028169014083,0.07991971830985915
Junkfood,2025-04-01,9,1.4788000000000001,3.8827,87,0.10344827586206896,0.01699770114942529,0.044628735632183905
Junkfood,2025-05-01,19,9.5713,12.719899999999997,113,0.168141592920354,0.08470176991150444,0.11256548672566369
Junkfood,2025-06-01,9,6.7877,7.3451,136,0.0661764705882353,0.04990955882352941,0.05400808823529412
Junkfood,2025-07-01,31,2.6183,12.4285,316,0.0981012658227848,0.008285759493670886,0.03933069620253164
Junkfood,2025-08-01,36,5.2672,17.3293,331,0.10876132930513595,0.01591299093655589,0.05235438066465257
Longevity,2017-02-01,1,0.9908,0.9908,10,0.1,0.09908,0.09908
Longevity,2017-05-01,2,1.5162,1.5162,5,0.4,0.30324,0.30324
Longevity,2017-08-01,2,0.3182,0.3182,10,0.2,0.03182,0.03182
Longevity,2017-09-01,4,3.7694,3.7694,8,0.5,0.471175,0.471175
Longevity,2017-10-01,6,2.3851,3.3543000000000003,7,0.8571428571428571,0.34072857142857144,0.4791857142857143
Longevity,2017-11-01,1,0.9991,0.9991,5,0.2,0.19982,0.19982
Longevity,2017-12-01,1,0.9977,0.9977,7,0.14285714285714285,0.14252857142857142,0.14252857142857142
Longevity,2018-02-01,2,-0.1774,0.7579,10,0.2,-0.01774,0.07579
Longevity,2018-03-01,5,3.9868,3.9868000000000006,15,0.3333333333333333,0.26578666666666667,0.2657866666666667
Longevity,2018-04-01,4,3.9652,3.9652,10,0.4,0.39652,0.39652
Longevity,2018-05-01,7,6.95,6.950000000000001,16,0.4375,0.434375,0.43437500000000007
Longevity,2018-06-01,3,2.3534,2.3534,10,0.3,0.23534000000000002,0.23534000000000002
Longevity,2018-07-01,6,5.785,5.785,19,0.3157894736842105,0.30447368421052634,0.30447368421052634
Longevity,2018-08-01,1,0.9931,0.9931,8,0.125,0.1241375,0.1241375
Longevity,2018-09-01,5,3.3906,3.3906,22,0.22727272727272727,0.15411818181818182,0.15411818181818182
Longevity,2018-10-01,3,2.4617,2.4617,13,0.23076923076923078,0.18936153846153847,0.18936153846153847
Longevity,2018-11-01,3,1.1955,1.9306,26,0.11538461538461539,0.04598076923076923,0.07425384615384616
Longevity,2018-12-01,1,0.9688,0.9688,8,0.125,0.1211,0.1211
Longevity,2019-01-01,3,1.5368,1.971,22,0.13636363636363635,0.06985454545454545,0.0895909090909091
Longevity,2019-02-01,3,2.9171,2.9171,20,0.15,0.145855,0.145855
Longevity,2019-03-01,3,1.8657,1.8657,17,0.17647058823529413,0.1097470588235294,0.1097470588235294
Longevity,2019-05-01,3,2.6006,2.6006,24,0.125,0.10835833333333333,0.10835833333333333
Longevity,2019-06-01,3,1.2679,1.2679,18,0.16666666666666666,0.07043888888888888,0.07043888888888888
Longevity,2019-07-01,3,2.85,2.85,18,0.16666666666666666,0.15833333333333333,0.15833333333333333
Longevity,2019-08-01,1,0.9287,0.9287,17,0.058823529411764705,0.05462941176470588,0.05462941176470588
Longevity,2019-09-01,7,3.9656000000000002,3.9656000000000002,19,0.3684210526315789,0.20871578947368422,0.20871578947368422
Longevity,2019-10-01,1,-0.4956,0.0,15,0.06666666666666667,-0.03304,0.0
Longevity,2019-11-01,7,2.2398,3.4542,26,0.2692307692307692,0.08614615384615384,0.13285384615384616
Longevity,2020-01-01,3,1.113,1.9416000000000002,19,0.15789473684210525,0.05857894736842105,0.10218947368421054
Longevity,2020-02-01,2,0.42669999999999997,0.42669999999999997,26,0.07692307692307693,0.01641153846153846,0.01641153846153846
Longevity,2020-03-01,2,1.9167,1.9167,25,0.08,0.076668,0.076668
Longevity,2020-04-01,2,1.502,1.502,23,0.08695652173913043,0.06530434782608696,0.06530434782608696
Longevity,2020-05-01,4,3.4055999999999997,3.4055999999999997,15,0.26666666666666666,0.22704,0.22704
Longevity,2020-06-01,2,1.9582000000000002,1.9582000000000002,15,0.13333333333333333,0.13054666666666667,0.13054666666666667
Longevity,2020-07-01,1,0.9925,0.9925,17,0.058823529411764705,0.058382352941176476,0.058382352941176476
Longevity,2020-08-01,1,0.9195,0.9195,20,0.05,0.045975,0.045975
Longevity,2020-09-01,2,1.9435,1.9435,25,0.08,0.07774,0.07774
Longevity,2020-10-01,3,1.696,1.696,22,0.13636363636363635,0.07709090909090908,0.07709090909090908
Longevity,2020-11-01,1,0.9984,0.9984,15,0.06666666666666667,0.06656,0.06656
Longevity,2020-12-01,1,0.9558,0.9558,22,0.045454545454545456,0.043445454545454544,0.043445454545454544
Longevity,2021-01-01,5,2.7371,2.7371,24,0.20833333333333334,0.11404583333333333,0.11404583333333333
Longevity,2021-02-01,2,1.8517000000000001,1.8517000000000001,22,0.09090909090909091,0.08416818181818182,0.08416818181818182
Longevity,2021-03-01,4,2.4657,2.9061,22,0.18181818181818182,0.11207727272727273,0.13209545454545454
Longevity,2021-04-01,3,1.0905999999999998,1.94,27,0.1111111111111111,0.040392592592592584,0.07185185185185185
Longevity,2021-05-01,3,1.6413000000000002,1.9459,39,0.07692307692307693,0.04208461538461539,0.049894871794871794
Longevity,2021-06-01,3,0.607,1.201,21,0.14285714285714285,0.028904761904761905,0.057190476190476194
Longevity,2021-07-01,4,1.6765,1.6764999999999999,31,0.12903225806451613,0.054080645161290325,0.05408064516129032
Longevity,2021-08-01,1,0.0,0.0,17,0.058823529411764705,0.0,0.0
Longevity,2021-09-01,4,1.8357999999999999,2.6706000000000003,19,0.21052631578947367,0.09662105263157894,0.14055789473684213
Longevity,2021-10-01,4,1.5453999999999999,2.3266,31,0.12903225806451613,0.0498516129032258,0.0750516129032258
Longevity,2021-12-01,3,2.4379999999999997,2.438,22,0.13636363636363635,0.1108181818181818,0.11081818181818183
Longevity,2022-01-01,4,3.6487,3.6487,31,0.12903225806451613,0.1177,0.1177
Longevity,2022-02-01,2,1.6311,1.6311,28,0.07142857142857142,0.058253571428571425,0.058253571428571425
Longevity,2022-03-01,4,2.7107,2.7107,36,0.1111111111111111,0.07529722222222222,0.07529722222222222
Longevity,2022-04-01,2,0.8752,0.9959,25,0.08,0.035008,0.039836
Longevity,2022-05-01,3,1.3488,1.4003999999999999,15,0.2,0.08992,0.09335999999999998
Longevity,2022-06-01,3,1.5828000000000002,1.5828000000000002,28,0.10714285714285714,0.056528571428571435,0.056528571428571435
Longevity,2022-07-01,5,4.2618,4.2618,32,0.15625,0.13318125,0.13318125
Longevity,2022-08-01,1,0.9938,0.9938,23,0.043478260869565216,0.04320869565217391,0.04320869565217391
Longevity,2022-09-01,2,-0.4171,0.2732,19,0.10526315789473684,-0.02195263157894737,0.014378947368421052
Longevity,2022-10-01,5,3.2397,3.8806000000000003,33,0.15151515151515152,0.09817272727272727,0.1175939393939394
Longevity,2022-11-01,4,1.1972,2.1013,32,0.125,0.0374125,0.065665625
Longevity,2022-12-01,3,2.3859,2.3859,33,0.09090909090909091,0.0723,0.0723
Longevity,2023-01-01,5,0.85,0.85,42,0.11904761904761904,0.02023809523809524,0.02023809523809524
Longevity,2023-02-01,4,2.6459,2.9191000000000003,30,0.13333333333333333,0.08819666666666667,0.09730333333333334
Longevity,2023-03-01,10,5.83,7.0897,45,0.2222222222222222,0.12955555555555556,0.15754888888888888
Longevity,2023-04-01,7,4.6362,4.6362,29,0.2413793103448276,0.15986896551724136,0.15986896551724136
Longevity,2023-05-01,3,0.9535,1.7825,23,0.13043478260869565,0.041456521739130434,0.0775
Longevity,2023-06-01,3,2.9398,2.9398,21,0.14285714285714285,0.1399904761904762,0.1399904761904762
Longevity,2023-07-01,2,1.6804000000000001,1.6804000000000001,17,0.11764705882352941,0.09884705882352941,0.09884705882352941
Longevity,2023-08-01,2,0.3612,0.3612,24,0.08333333333333333,0.015050000000000001,0.015050000000000001
Longevity,2023-09-01,3,1.1118999999999999,1.8437999999999999,13,0.23076923076923078,0.08553076923076922,0.14183076923076923
Longevity,2023-10-01,4,2.4722,2.4722,25,0.16,0.098888,0.098888
Longevity,2023-11-01,1,0.9981,0.9981,21,0.047619047619047616,0.04752857142857143,0.04752857142857143
Longevity,2023-12-01,4,-0.2349000000000001,1.7334999999999998,30,0.13333333333333333,-0.007830000000000004,0.057783333333333325
Longevity,2024-01-01,8,5.585,5.7232,41,0.1951219512195122,0.13621951219512196,0.13959024390243904
Longevity,2024-02-01,7,2.6885,3.8916999999999997,22,0.3181818181818182,0.12220454545454545,0.17689545454545452
Longevity,2024-03-01,2,0.9313,0.9313,29,0.06896551724137931,0.03211379310344828,0.03211379310344828
Longevity,2024-04-01,6,0.46799999999999997,2.1492000000000004,48,0.125,0.00975,0.04477500000000001
Longevity,2024-05-01,5,3.4004,3.4004,33,0.15151515151515152,0.10304242424242424,0.10304242424242424
Longevity,2024-06-01,8,1.9385,4.6319,37,0.21621621621621623,0.05239189189189189,0.12518648648648648
